Wall time,Step,Value
1554277186.745904,0,0.28491365909576416
1554278465.683649,1,0.27313393354415894
1554279544.01584,2,0.3427457809448242
1554280626.5764208,3,0.3098209500312805
1554281742.5184581,4,0.2682894170284271
1554282846.9503708,5,0.32310110330581665
1554283965.68272,6,0.29659706354141235
1554285057.2702167,7,0.25963807106018066
1554286129.3298533,8,0.24049732089042664
1554287200.6455264,9,0.24231937527656555
1554288284.6173282,10,0.23516304790973663
1554289385.6668694,11,0.24048419296741486
1554290491.0981174,12,0.24338805675506592
1554291592.464142,13,0.23932591080665588
1554292667.6779356,14,0.24581097066402435
1554293746.8762672,15,0.24601389467716217
1554294821.0774157,16,0.24560511112213135
1554295936.4416385,17,0.24755793809890747
1554297036.4640582,18,0.24568656086921692
1554298117.0683758,19,0.24091540277004242
1554299199.413416,20,0.24047650396823883
1554300273.4645772,21,0.24391137063503265
1554301381.3695168,22,0.24129456281661987
1554302497.50426,23,0.242996484041214
1554303598.9612324,24,0.2494383454322815
1554304713.4050999,25,0.25002190470695496
1554305814.2454157,26,0.23986932635307312
1554306885.6723373,27,0.23821602761745453
1554307963.8192825,28,0.24341601133346558
1554309028.6250052,29,0.2409117966890335
1554310115.5019054,30,0.24493274092674255
1554311222.2180681,31,0.24260549247264862
1554312322.6458108,32,0.23485243320465088
1554313419.346982,33,0.24180442094802856
1554314488.539025,34,0.24642229080200195
1554315556.9364426,35,0.2400539070367813
1554316623.7463238,36,0.2503611445426941
1554317733.409283,37,0.23924539983272552
1554318848.619364,38,0.24180345237255096
1554319955.3913677,39,0.24823978543281555
1554321035.688762,40,0.24518615007400513
1554322115.434885,41,0.24241161346435547
1554323193.7904203,42,0.23898251354694366
1554324275.4363027,43,0.24448946118354797
1554325383.7310033,44,0.2459091991186142
1554326468.1673887,45,0.24201594293117523
1554327549.0672083,46,0.23771795630455017
1554328622.1827006,47,0.2440384477376938
1554329704.1120968,48,0.24364493787288666
1554330821.8155632,49,0.24289830029010773
