Wall time,Step,Value
1554057120.824889,0,0.5861583352088928
1554057723.3780599,1,0.3196590840816498
1554058328.3697317,2,0.28286314010620117
1554058928.9428017,3,0.38190287351608276
1554059528.9829774,4,0.2815968692302704
1554060132.09636,5,0.4741891920566559
1554060750.3318224,6,0.4099538326263428
1554061350.3576372,7,0.3001142740249634
1554061961.3755333,8,0.3647105395793915
1554062567.0669672,9,0.3156967759132385
1554063172.2324612,10,0.32090839743614197
1554063774.0322325,11,0.27710554003715515
1554064376.651951,12,0.37724795937538147
1554064994.568689,13,0.28288447856903076
1554065622.8296404,14,0.48685044050216675
1554066251.3847501,15,0.37813130021095276
1554066851.5158136,16,0.3254106044769287
1554067450.9813776,17,0.3523460924625397
1554068052.0669792,18,0.3783518671989441
1554068653.226581,19,0.34892866015434265
1554069252.9777133,20,0.3288835287094116
1554069850.8619814,21,0.36999163031578064
1554070481.756187,22,0.34444722533226013
1554071109.5195923,23,0.35909852385520935
1554071732.8818064,24,0.29784560203552246
1554072357.4463804,25,0.39799612760543823
1554072977.188347,26,0.2935258746147156
1554073604.5948553,27,0.28565171360969543
1554074227.1307387,28,0.28234994411468506
1554074841.6015327,29,0.3615015149116516
1554075463.247089,30,0.33403879404067993
1554076064.5030367,31,0.3067369759082794
1554076667.9804556,32,0.3891031742095947
1554077271.8075068,33,0.2630176544189453
1554077868.401006,34,0.3201230764389038
1554078468.8141587,35,0.3689725995063782
1554079073.5196247,36,0.3586249351501465
1554079705.038384,37,0.3223029673099518
1554080331.8513298,38,0.3734613358974457
1554080959.6395204,39,0.35582154989242554
1554081583.9710026,40,0.3623974621295929
1554082208.768588,41,0.2710930407047272
1554082824.2826235,42,0.3168903589248657
1554083425.0026996,43,0.2887834310531616
1554084024.7056587,44,0.34595897793769836
1554084624.5536356,45,0.3290308713912964
1554085222.3117552,46,0.3728998005390167
1554085824.842578,47,0.37637782096862793
1554086448.3907626,48,0.34553107619285583
1554087073.410973,49,0.3495626449584961
