Wall time,Step,Value
1554532203.389064,0,0.2224145084619522
1554533037.1785173,1,0.29734739661216736
1554533677.6764278,2,0.33093518018722534
1554534315.8227482,3,0.29589930176734924
1554534955.8423946,4,0.2855187654495239
1554535610.0527422,5,0.21396078169345856
1554536271.997027,6,0.2565193474292755
1554536916.4640796,7,0.27642837166786194
1554537559.5897074,8,0.2626510560512543
1554538202.9894783,9,0.28323715925216675
1554538846.1637814,10,0.2663196921348572
1554539501.9409108,11,0.2661030888557434
1554540161.3381608,12,0.2581039071083069
1554540822.3252199,13,0.2631734311580658
1554541460.3404298,14,0.26529425382614136
1554542110.0663953,15,0.2696188688278198
1554542765.125151,16,0.26241636276245117
1554543402.3060048,17,0.2675008475780487
1554544038.8516593,18,0.272453248500824
1554544676.394564,19,0.2532040476799011
1554545314.4405675,20,0.2546457052230835
1554545953.3462481,21,0.2679516673088074
1554546602.6573007,22,0.2558436095714569
1554547262.3586087,23,0.26105111837387085
1554547926.0997546,24,0.252124547958374
1554548584.8854976,25,0.265011727809906
1554549244.3448708,26,0.2455797642469406
1554549904.2886643,27,0.270824134349823
1554550563.3245666,28,0.2545529901981354
1554551199.131218,29,0.2654452919960022
1554551835.1613598,30,0.2604576349258423
1554552470.9332502,31,0.25252464413642883
1554553107.242502,32,0.2631712257862091
1554553743.952047,33,0.2786588966846466
1554554388.879274,34,0.26062652468681335
1554555047.4952068,35,0.2738575339317322
1554555710.4816053,36,0.25753822922706604
1554556374.803958,37,0.26996397972106934
1554557033.247024,38,0.2838238775730133
1554557671.613356,39,0.25546395778656006
1554558319.6737974,40,0.25475940108299255
1554558957.2221642,41,0.26789310574531555
1554559594.427852,42,0.2530949115753174
1554560231.3017843,43,0.26972487568855286
1554560868.6698709,44,0.261405885219574
1554561510.113467,45,0.2614864408969879
1554562164.3710551,46,0.2533484697341919
1554562801.3557365,47,0.27056029438972473
1554563437.602909,48,0.2550911009311676
1554564072.9496748,49,0.2776990830898285
