Wall time,Step,Value
1554214188.3562572,0,0.35460737347602844
1554215422.8759458,1,0.218272864818573
1554216508.2451577,2,0.24566324055194855
1554217533.5025094,3,0.1996498703956604
1554218616.953412,4,0.21923735737800598
1554219724.4686308,5,0.24736268818378448
1554220841.0256653,6,0.21289701759815216
1554221960.1698346,7,0.2557198107242584
1554222973.2361665,8,0.24093960225582123
1554223972.6672628,9,0.21798846125602722
1554225002.8234527,10,0.23213353753089905
1554226034.9803715,11,0.21815723180770874
1554227109.8179054,12,0.21250833570957184
1554228142.5213568,13,0.20788002014160156
1554229183.8891783,14,0.2083449810743332
1554230210.9509199,15,0.20918923616409302
1554231279.0701995,16,0.2041093111038208
1554232344.194735,17,0.20414844155311584
1554233429.1109035,18,0.20769312977790833
1554234475.8340132,19,0.20945997536182404
1554235508.104892,20,0.20232781767845154
1554236541.5672548,21,0.2051754891872406
1554237685.6461835,22,0.2026909589767456
1554238711.426977,23,0.21116577088832855
1554239829.609233,24,0.20979885756969452
1554240871.83922,25,0.2086344063282013
1554241906.2937994,26,0.2013777643442154
1554242938.7563798,27,0.20519773662090302
1554244028.7349172,28,0.20521238446235657
1554245130.9683032,29,0.19602741301059723
1554246240.5322897,30,0.21307234466075897
1554247337.495492,31,0.20956534147262573
1554248452.7756124,32,0.19961942732334137
1554249467.55436,33,0.20923565328121185
1554250493.4995396,34,0.20858338475227356
1554251514.4306512,35,0.20504480600357056
1554252602.2740035,36,0.20154894888401031
1554253716.9032362,37,0.21513882279396057
1554254808.3390942,38,0.2116861790418625
1554255887.14203,39,0.2061930000782013
1554256911.8346894,40,0.20976893603801727
1554257948.953263,41,0.20613156259059906
1554258978.8726282,42,0.21265235543251038
1554260104.0724137,43,0.21031486988067627
1554261199.2061026,44,0.20009876787662506
1554262245.7251525,45,0.20412296056747437
1554263277.8882601,46,0.21067340672016144
1554264295.4516592,47,0.21271231770515442
1554265319.067865,48,0.2022494524717331
1554266465.5481122,49,0.21179531514644623
